smiles,Ames
Nc1cccc(C(F)(F)F)c1,0
Nc1c2ccccc2cc2ccccc12,1
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12,0
Nc1c2[nH]cnc2nc[n+]1[O-],1
Nc1ccc(Cl)cc1Cl,1
Nc1snc2cc(Cl)ccc12,1
Nc1cc(Cl)ccc1Cl,0
Nc1cc([N+](=O)[O-])cc(Cl)c1O,1
Nc1ccc([N+](=O)[O-])cc1Cl,1
Nc1ccc(O)c(N)c1,1
Nc1cc(-c2ccncc2)cnc1O,0
Nc1nc(O)nc2c1ncn2C1OC(CO)C(O)C1O,0
Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2C1CC(O)C(CO)O1,1
Nc1cc2c(O)c(N=Nc3ccc(N=Nc4ccc(S(=O)(=O)O)cc4)c4ccc(S(=O)(=O)O)cc34)c(S(=O)(=O)O)cc2cc1S(=O)(=O)O,0
Nc1ccc(-c2ccc(N)c([N+](=O)[O-])c2)cc1[N+](=O)[O-],1
Nc1n[nH]c(N)n1,0
Nc1ccc2cc3ccccc3nc2c1,1
Nc1nc2ccc([N+](=O)[O-])cc2s1,1
Nc1nnc(S)s1,0
Nc1ccccc1SCSc1ccccc1N,1
Nc1ccc2c(c1)-c1ccccc1C2,1
Nc1ccc(Cc2ccc(N)c(Cl)c2)cc1Cl,1
Nc1cccc2c1-c1cccc3cccc-2c13,1
Nc1ccc2cccnc2c1,1
Nc1nc2c(ccc3ncccc32)s1,1
Nc1cc([N+](=O)[O-])ccc1O,1
Nc1ccc(O)cc1,0
Nc1c2ccccc2nc2ccc([N+](=O)[O-])cc12,1
Nc1ccc2c(-c3ccccc3C(=O)O)c3ccc(N)cc3[o+]c2c1,0
Nc1nc(-c2ccc([N+](=O)[O-])o2)cs1,1
Nc1cccc2ccc3ccccc3c12,0
Nc1ccc2c(ccc3c4ccccc4ccc23)c1,1
Nc1nc(-c2ccc([N+](=O)[O-])s2)cs1,1
Nc1ccccc1-c1ccccc1,1
Nc1ccc2nc3ccc(N)cc3nc2c1,1
Nc1ccc(Cc2ccc(N)cc2[N+](=O)[O-])c([N+](=O)[O-])c1,1
Nc1ccc2cc3ccc(N)cc3nc2c1,1
Nc1ccc(S(N)(=O)=O)cc1,0
Nc1ccccn1,0
Nc1ccc2ncsc2c1,1
Nc1ccc2c(no[n+]2[O-])n1,1
Nc1nc2ncnc-2c[nH]1,0
Nc1ccc2ccc3c4ccccc4cc4ccc1c2c43,1
Nc1cc([N+](=O)[O-])ccc1CO,1
Nc1c(N=Nc2ccc([N+](=O)[O-])cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12,1
Nc1cc(S(=O)(=O)O)ccc1O,0
Nc1nc(-c2ccccc2)c(CCO)c2ncnn12,0
Nc1ccc2ccc3ccccc3c2n1,1
Nc1cc(S(=O)(=O)O)c2cccc(S(=O)(=O)O)c2c1,0
Nc1cc(Cl)c(Cl)c(Cl)c1,0
Nc1cc(Cl)ccc1O,1
Nc1ccccc1[N+](=O)[O-],0
Nc1ccc(-c2cc(Cl)c(N)c(Cl)c2)cc1Cl,1
Nc1ccc(N)c2c1C(=O)c1cccc([N+](=O)[O-])c1C2=O,1
Nc1nc(=O)n(C2CC(O)C(CO)O2)cc1O,0
Nc1ccccc1O,1
Nc1ncnc2c1ncn2Cc1ccccc1,1
Nc1ccc(Cc2ccc(N)c(Cc3ccc(N)cc3)c2)cc1,1
Nc1ccc(N)c2ccccc12,1
Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2-c1ccc([N+](=O)[O-])cc1,1
Nc1ccc2ccccc2c1S(=O)(=O)O,1
Nc1ccc2ccc3cccc4ccc1c2c34,1
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)O)c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)O)c2ccccc12,1
Nc1ccc(/C=C/c2cccc(Cl)c2)cc1,1
Nc1nc2ccccc2[nH]1,0
Nc1cccc([N+](=O)[O-])c1N,1
Nc1ccc(Br)cc1,0
Nc1cc2c3ccccc3ccc2c2ccccc12,1
Nc1cc(C(=O)O)c(O)c(S(=O)(=O)O)c1,0
Nc1cccc2ncc(F)cc12,1
Nc1ccc2c(c1)[nH]c1ccccc12,1
Nc1cccc2nc3c(N)cccc3nc12,1
Nc1ccccc1Cl,0
Nc1c(O)cccc1C(=O)O,0
Nc1ccccc1C(=O)O,0
Nc1cccc([N+](=O)[O-])c1O,0
Nc1ccc(Cl)cc1[N+](=O)[O-],1
Nc1c(C(=O)N/N=C/c2ccccc2)[nH]c2ccccc12,0
Nc1cccc2nc3ccccc3cc12,1
Nc1ccc([N+](=O)[O-])c(O)c1,1
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4ccc(O)cc4)cc3)cc2)c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(N=Nc3ccccc3)c(O)c12,1
Nc1ccc2nc3ccccc3nc2c1,1
Nc1cc2ccc3cccc4ccc(c1)c2c34,1
Nc1ncnc2c1ncn2-c1ccc([N+](=O)[O-])cc1[N+](=O)[O-],1
Nc1ccc2[nH]c3ccccc3c2c1[N+](=O)[O-],1
Nc1nc(/C=C\c2ccc([N+](=O)[O-])o2)cs1,1
Nc1ccc(O)c([N+](=O)[O-])c1,1
Nc1ncnc2c1ncn2-c1ccc([N+](=O)[O-])cc1,1
Nc1ccc2c([nH]c3ccccc32)c1[N+](=O)[O-],1
Nc1ccc2c(c1)C(=O)c1ccc(N)cc1C2=O,1
Nc1ccc2ccccc2n1,1
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,1
Nc1c2ccccc2nc2ccc(O)cc12,1
Nc1cc2nc3ccccc3nc2cc1O,1
Nc1ccc2cc(S(=O)(=O)O)c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)O)cc6cc(S(=O)(=O)O)cc(N)c6c5O)cc4)cc3)c(O)c2c1,1
Nc1ccc(Oc2c(Cl)cc(Cl)cc2Cl)cc1,1
Nc1nc(Cl)cc(Cl)n1,0
Nc1ccc(Cc2ccc(N)c(C(=O)O)c2)cc1C(=O)O,0
Nc1c(Br)cc([N+](=O)[O-])cc1[N+](=O)[O-],1
Nc1c(O)ccc2ccccc12,0
Nc1[nH]ccc2nc3ccccc3c1-2,1
Nc1ccc(-c2ccc(N)c(Br)c2)cc1Br,1
Nc1cccc([N+](=O)[O-])c1CO,0
Nc1ccc2c(c1N)C(=O)c1ccccc1C2=O,1
Nc1ccn([C@@H]2CC[C@H](CO)O2)c(=O)n1,1
Nc1cccc(O)c1,1
Nc1cccc2c1C(=O)c1ccccc1C2=O,1
Nc1nc2c(s1)CCc1ncccc1-2,1
Nc1ccc2ccc3cc4ccccc4c4ccc1c2c34,1
Nc1ccc(/C=C/c2ccc(Cl)cc2)cc1,1
Nc1ccc(-c2ccc(N)c(F)c2)cc1F,1
Nc1ccccc1C(=O)OCCc1ccccc1,0
Nc1c(Oc2ccccc2)cc(O)c2c1C(=O)c1ccccc1C2=O,1
Nc1cc2nc3ccc(Cl)cc3nc2cc1N,1
Nc1cccc2c(Cl)nsc12,1
Nc1ccc(CO)c([N+](=O)[O-])c1,1
Nc1ccc2c(ccc3ccccc32)c1,1
Nc1ccc(Oc2ccccc2)cc1,1
Nc1ccc(Cl)c(C(F)(F)F)c1,0
Nc1ccc(/C=C/c2cccc(N)c2)cc1,1
Nc1nc(NO)c2[nH]cnc2n1,1
Nc1ccccc1,0
Nc1ncn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1,1
Nc1ccc2ccc3ccc([N+](=O)[O-])c4ccc1c2c34,1
Nc1cc(Cl)c(S(=O)(=O)O)cc1Cl,0
Nc1cc(S(=O)(=O)O)ccc1Cl,0
Nc1cc(S(=O)(=O)O)ccc1S(=O)(=O)O,0
Nc1ccc2c(S(=O)(=O)O)cccc2c1S(=O)(=O)O,0
Nc1ccc(S(=O)(=O)O)cc1S(=O)(=O)O,0
Nc1ccc(N)c(N)c1,1
Nc1ccc(C2(c3ccc(N)cc3)CCCCC2)cc1,1
Nc1cc(N)c(N)cc1N,0
Nc1cc(N)c(O)cc1O,1
Nc1ccc2ccccc2c1O,0
Nc1ccc(N2CCS(=O)(=O)CC2)cc1,0
Nc1ncn[nH]1,0
Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)O)c(S(=O)(=O)O)c1,0
Nc1ccc2c(O)cc(S(=O)(=O)O)cc2c1,1
Nc1c2ccccc2nc2ccccc12,0
Nc1nc(N)nc(-c2ccccc2)n1,0
Nc1ccc(N=Nc2ccccc2)c(N)n1,1
Nc1ccc(Cl)c(Cl)c1,0
Nc1c(O)cc(S(=O)(=O)O)c2ccccc12,0
Nc1ccc([As](=O)([O-])O)cc1,0
Nc1ccc(S(=O)(=O)[O-])c2ccccc12,0
Nc1ccc(S(=O)(=O)[O-])cc1,0
Nc1cccc2c(=O)[nH][nH]c(=O)c12,0
Nc1c(N=Nc2ccc(-c3ccc(N=Nc4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12,1
Nc1ccc(O)cc1[N+](=O)[O-],1
Nc1ccc(C=Cc2ccc(N)cc2)cc1,1
Nc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1[O-],1
Nc1c(Cl)c(Cl)nc(C(=O)O)c1Cl,0
Nc1ccc(N=Nc2ccc(-c3ccc(N=Nc4c(S(=O)(=O)[O-])cc5cc(S(=O)(=O)[O-])c(N=Nc6ccccc6)c(O)c5c4N)cc3)cc2)c(N)c1,1
Nc1cc(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(-c4ccc(N=Nc5c(S(=O)(=O)[O-])cc6cc(S(=O)(=O)[O-])cc(N)c6c5O)cc4)cc3)c(O)c12,1
Nc1ccc(NCCO)c([N+](=O)[O-])c1,1
Nc1cc(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(N=Nc3ccccc3)c(O)c12,0
Nc1c(S(=O)(=O)[O-])cc(NC2CCCCC2)c2c1C(=O)c1ccccc1C2=O,0
Nc1cc(S(=O)(=O)O)cc2cc(S(=O)(=O)[O-])cc(O)c12,0
Nc1ccc(N=Nc2ccc(N=Nc3c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])c(N=Nc5ccc(N=Nc6ccc(N)cc6N)cc5)c(O)c4c3N)cc2)c(N)c1,1
Nc1ccc2cc(S(=O)(=O)[O-])cc(O)c2c1N=Nc1ccc([N+](=O)[O-])cc1S(=O)(=O)[O-],0
Nc1ccc(/C=C/c2ccc(N)cc2S(=O)(=O)[O-])c(S(=O)(=O)[O-])c1,0
Nc1c(N=Nc2ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc2)c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c(N=Nc3ccc(S(=O)(=O)CCOS(=O)(=O)[O-])cc3)c(O)c12,0
Nc1ccc(N=Nc2ccc(N(CCO)CCO)cc2)cc1,1
Nc1ccc(NCCO)cc1[N+](=O)[O-],1
Nc1cc(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])c3c(c12)O[Cu]Oc1cc(-c2ccc4c(c2)O[Cu]Oc2c(c(S(=O)(=O)[O-])cc5cc(S(=O)(=O)[O-])cc(N)c25)/N=N\4)ccc1/N=N\3,0
[NH3+]c1ccc([NH+](CCO)CCO)cc1,1
Nc1nc(N)nc(NC2CC2)n1,0
Nc1cc(Cl)c(NCC(O)CO)cc1[N+](=O)[O-],1
Nc1ccc(Nc2ccccc2C(=O)O)c([N+](=O)[O-])c1,1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,0
Nc1ccc(N=Nc2ccccc2)c(N)n1,1
Nc1ccc(O)c(N)c1,1
Nc1ccc2cc3ccc(N)cc3nc2c1,1
Nc1ccc(-c2ccc(N)c(Cl)c2)cc1Cl,1
Nc1ccccc1N,1
Nc1ccc(N)cc1,1
Nc1nc(N)c(N)c(O)n1,1
Nc1ccc(Nc2ccccc2)cc1,0
Nc1cccc2ncccc12,1
Nc1nc2ccc(O)cc2[nH]1,1
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)C[C@H]1O,1
Nc1cc(-c2ccncc2)c[nH]c1=O,0
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@@H]2O)c(=O)n1,0
Nc1ccc(/N=N/c2ccccc2)cc1,1
Nc1ccc(Oc2ccc(Oc3ccc(N)cc3)cc2)cc1,1
Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,1
Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
Nc1cccc2cccc(S(=O)(=O)O)c12,1
Nc1ccn([C@@H]2C=C(CO)[C@@H](O)[C@H]2O)c(=O)n1,0
Nc1ccc(/N=N/c2ccc(N)cc2)cc1,1
Nc1cc(Cl)nc(C(=O)O)c1Cl,0
Nc1nc(-c2ccc([N+](=O)[O-])cc2)nc2nc[nH]c12,1
Nc1cc(Cl)c([N+](=O)[O-])cc1O,1
Nc1c2cc([N+](=O)[O-])ccc2nc2ccc([N+](=O)[O-])cc12,1
Nc1ccc2[nH]c3ccccc3c2c1,1
Nc1ccc2ccccc2c1/N=N/c1ccc([N+](=O)[O-])cc1,1
Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO)O1,0
Nc1ncnc2nc(-c3ccc([N+](=O)[O-])cc3)[nH]c12,1
Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1I,0
Nc1c(C(=O)O)cc([N+](=O)[O-])c2c1C(=O)c1ccccc1C2=O,1
Nc1ccn([C@H]2CC[C@@H](CO)O2)c(=O)n1,0
Nc1cc2c3c(ccc2c2ccccc12)[C@H](O)[C@@H](O)C=C3,1
Nc1c(/N=N/c2ccc(-c3ccc(/N=N/c4cc(S(=O)(=O)[O-])c5ccccc5c4N)cc3)cc2)cc(S(=O)(=O)[O-])c2ccccc12,1
Nc1nc(-c2cccc([N+](=O)[O-])c2)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,1
Nc1ccc2cc3ccccc3cc2c1,1
Nc1nc(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1CCCl,0
Nc1ccc2nc3ccc(N)cc3[s+]c2c1,1
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1,0
Nc1cc(N)c(N=Nc2ccc(S(=O)(=O)O)cc2)cc1N=Nc1ccc(-c2ccc(N=Nc3ccc(O)c(C(=O)[O-])c3)cc2)cc1.Nc1cc(N)c(N=Nc2ccc(S(=O)(=O)O)cc2)cc1N=Nc1ccc(-c2ccc(N=Nc3ccc(O)c(C(=O)[O-])c3)cc2)cc1,1
Nc1ccc2c(-c3ccccc3C(=O)O)c3ccc(N)cc3[o+]c2c1,0
[NH3+]c1ccc(Cl)cc1,1
Nc1ccc(N)c(S(=O)(=O)O)c1,0
Nc1c(S(=O)(=O)[O-])cc2cc(S(=O)(=O)[O-])ccc2c1N=Nc1ccc(-c2ccc(N=Nc3c(N)c(S(=O)(=O)[O-])cc4cc(S(=O)(=O)[O-])ccc34)c(Cl)c2)cc1Cl,0
[NH3+]c1c(O)ccc2ccccc12,0
Nc1ccc2nc3c(cc(N)c4ccccc43)[o+]c2c1.[O-][Cl+3]([O-])([O-])[O-],1
Nc1ccc(-c2ccc(N)cc2)cc1,1
Nc1ncnc2c1ncn2C1CCC(CO)O1,0
